,Temp_95,Temp_98,HI_95,HI_98,RH_95,RH_98
0,33.3,37.028,33.641526059598704,38.572564109505265,68.0,71.0
1,32.455000000000005,37.7,32.51033421410373,39.21932784838014,73.0,76.13999999999999
2,32.68,33.911999999999985,32.48208095514671,34.06067092216319,73.0,77.0
3,31.079999999999973,35.444,33.62778912544913,39.810670960284945,96.0,97.0
4,30.6,31.514,32.50171658706703,33.87026080282017,73.0,75.0
5,28.4,33.879999999999804,29.51846433750012,38.72314103488527,86.0,90.0
6,34.0,36.628,36.9944159554011,40.80283492122493,85.0,87.0
7,27.644999999999992,29.3,28.213733151785732,29.537939370117286,81.0,83.0
8,37.485,38.714,41.76720053258542,44.58926389567186,68.0,74.27999999999997
9,33.7,34.7,34.27595152467734,35.43412481329579,76.0,95.24000000000001
10,53.209999999999994,58.844,63.32668926747733,72.2318814535404,75.04999999999995,86.0
11,31.585000000000004,35.2,31.985022393060063,36.23602460626031,74.0,78.13999999999999
12,28.2,29.4,29.108842189400526,30.8507461490284,80.0,81.0
13,27.0,29.517999999999994,30.718994124842823,38.170286792189884,88.0,88.0
14,29.0,30.927999999999997,29.407760342844462,31.17970413375369,77.0,79.0
15,29.685000000000002,35.3,31.330472461067803,40.50656571039588,81.0,84.0
16,32.5,34.513999999999996,34.226272672444544,36.68797107796558,72.0,76.0
17,32.185,35.34199999999999,32.047796353237516,35.322133444546694,79.0,81.0
18,32.6,33.0,34.27892408262374,35.741935239431754,72.0,74.0
19,31.32500000000001,35.128,32.42900527132177,37.36840217256037,77.85000000000002,82.0
20,30.49,34.77999999999999,31.00908051585253,36.412821745080514,88.0,90.0
21,32.3,36.31399999999999,31.739170267925797,36.22075326617355,78.0,84.0
22,29.854999999999993,31.441999999999997,31.516217998964567,34.93300671926098,80.0,82.41999999999996
23,30.5,30.913999999999998,30.753981606773348,31.515386250046827,63.0,65.13999999999999
24,33.5,38.056,34.81792594437073,41.24228709954224,79.0,83.0
25,30.7,32.6,33.0697312867975,35.10197069989118,81.0,85.0
26,25.8,27.2,25.980833333333333,28.185222209728245,84.0,86.0
27,32.07999999999998,36.9,32.324690910017054,38.271716827400134,71.0,75.17999999999995
28,32.05500000000001,36.928,32.15821637728581,38.48859389841849,80.0,82.0
29,33.289999999999985,37.2,33.694951079583426,37.92574618085087,88.0,90.0
30,29.9,32.728,30.036767458299035,32.90716461427955,93.0,97.0
31,31.185000000000002,33.641999999999996,31.784393692648045,34.87157770857157,79.0,82.0
32,36.4,39.056,37.693505826116116,41.87292389277166,65.0,71.0
33,30.670000000000005,34.528,30.849682900549787,36.37563438855231,79.0,81.0
34,30.7,33.455999999999996,32.56334822105341,36.689936651164494,100.0,100.0
35,35.485,38.013999999999996,37.82168227286237,41.09931141256631,79.0,85.0
36,29.785000000000004,32.428,31.557166748884462,35.62381673732949,81.0,83.0
37,30.6,33.3,31.322304519680134,34.73893418168978,83.0,86.0
38,30.8,32.1,31.61425990355389,32.975871123796274,73.85000000000002,78.0
39,30.385,31.8,31.6358604590291,33.5402430945537,78.0,81.13999999999999
40,31.585000000000004,33.128,33.7741284888774,35.975466737307585,87.85000000000002,89.0
41,31.5,33.2,33.08554784491101,35.35816665087675,72.0,78.0
42,34.2,36.42999999999999,36.95115113842678,40.20276455445003,75.0,80.0
43,34.0,37.887999999999984,34.54693498369338,39.61180223218509,65.0,68.0
44,31.285000000000004,33.214,33.365490844422496,36.0960570737691,77.0,79.0
45,30.994999999999994,32.8,31.601412615742756,34.23622357547181,73.0,76.58000000000004
46,29.6,31.239999999999988,31.214953905176163,32.77741323464742,81.0,84.0
47,31.3,33.5,32.54289110781785,35.321936909151944,76.0,78.0
48,32.485,34.827999999999996,32.831500029144905,35.88058370380199,84.0,85.0
49,33.285000000000004,35.913999999999994,34.22777301110134,36.99029526940897,73.0,78.0
50,38.64999999999998,41.3,38.017508797777204,42.039829153192294,53.0,67.83999999999992
51,32.73500000000001,34.413999999999994,34.797659634855634,38.510560893154604,93.0,96.0
52,32.2,34.019999999999996,33.242519618444554,35.63296215083337,74.0,77.0
53,31.3,33.714,32.98143715050942,36.72153192394451,84.0,87.0
54,36.1,39.228,37.71946439992355,42.523096340938196,79.0,87.0
55,31.1,34.413999999999994,32.64636254631999,35.953929609621404,81.0,88.0
56,32.91000000000001,37.028,35.46812196550956,40.27557647652859,81.0,83.0
57,26.6,29.0,27.295251795772543,29.419582518902338,80.0,83.0
58,31.01,32.124,33.11649002696462,34.77469144578855,72.0,76.0
59,29.770000000000007,31.2,30.331987390283004,31.790451635120064,76.0,78.0
60,32.4,33.2,35.87962876235307,37.29290017336401,76.0,78.0
61,33.585,35.656,34.85292038120667,37.66436268313106,73.0,76.0
62,33.0,36.34199999999999,34.07208819824446,40.07943222840516,92.85000000000002,95.0
63,25.685000000000002,27.9,25.60497222222222,27.71341471626452,80.0,83.0
64,32.985,36.114,34.718666908240074,38.57869834307266,71.0,75.0
65,30.585000000000004,33.31399999999999,32.00585989998682,36.08528963988164,83.85000000000002,86.0
66,30.285000000000004,31.913999999999998,32.81036764959488,36.092324075001784,83.0,87.0
67,34.785000000000004,35.6,37.45059176925112,38.91148220299886,69.85000000000002,73.0
68,33.5,34.337999999999994,35.79484967129875,37.10390018993738,71.0,73.0
69,31.570000000000004,33.928,31.737935707940057,34.31192555126512,82.0,85.0
70,36.7,39.5,40.456371090649824,45.36948604089199,68.0,69.13999999999999
71,34.36999999999999,37.688,35.35877882888005,39.87697338138873,76.0,81.0
72,27.485000000000003,29.328,27.996009831601807,29.554725494496513,90.0,92.0
73,29.285000000000004,34.61199999999999,31.43365568925481,39.134420494129316,93.0,97.0
74,36.485,37.6,38.102317235537406,39.30908687540458,67.0,70.0
75,30.525000000000013,34.7,31.978172439645814,38.897034115852165,85.0,90.0
76,27.170000000000005,29.455999999999992,28.458778802977847,31.603712759752664,89.0,94.0
77,30.1,33.11199999999999,31.54734691036483,34.91652778527629,83.0,85.0
78,32.6,34.028,34.36240899869685,35.883397465704064,90.0,95.0
79,30.4,32.0,31.710287153757797,33.44557576957402,78.0,81.0
80,32.385,36.5,33.54078279143514,38.47210366171635,83.0,85.13999999999999
81,29.735000000000003,32.868,30.18278398041469,34.81728228877781,87.0,89.0
82,33.2,36.714,34.18071349355786,37.93059507879706,72.0,75.0
83,31.8,35.6,32.07247877707333,36.33010464120185,100.0,100.0
84,30.855000000000008,35.913999999999994,31.126953733004484,37.42577722546241,91.0,92.0
85,32.6,36.408,34.59335806104899,40.13061181499415,82.19999999999993,85.0
86,31.0,34.44199999999999,32.88146377289732,37.85997252999555,91.0,92.0
87,30.7,33.7,31.7634032926876,35.52878890937445,90.40000000000009,100.0
88,29.6,31.7,30.25334845211645,32.463132595293125,76.0,81.0
89,32.8,36.93999999999998,33.71243927794449,38.620169455740374,100.0,100.0
90,31.504999999999995,33.022000000000006,32.387498099927654,35.122884726649644,85.04999999999995,94.0
91,29.8,31.4,30.049026728264884,32.12052851402204,87.0,87.0
92,31.75999999999999,33.931999999999995,33.657070749823156,36.30777188634951,100.0,100.0
93,29.485000000000003,32.013999999999996,29.698191705637434,32.000050568521665,81.0,84.13999999999999
94,32.470000000000006,34.756,33.687285231316814,37.21513637702508,80.0,94.27999999999997
95,30.185000000000002,31.828,31.13806494299866,33.68984575348814,85.85000000000002,87.0
96,31.0,33.1,30.743188420459703,32.577196314289125,73.0,75.0
97,31.474999999999998,35.25999999999999,33.207395371073346,40.64938033114053,80.0,81.0
98,32.67999999999997,37.855999999999995,33.691325657512934,40.88975953993468,86.19999999999993,89.0
99,35.885,40.5,35.74218600534942,42.20439431490166,80.85000000000002,86.13999999999999
100,30.085000000000004,33.114,32.83398426226145,36.04031325359473,90.0,92.0
101,30.840000000000007,34.528,31.244311489665375,34.81791413887972,83.0,85.0
102,33.9,37.528,34.991302642420486,39.5679212069622,76.85000000000002,81.0
103,35.32000000000001,37.2,38.08789588590271,40.64666625721769,80.60000000000002,83.0
104,28.2,31.3,27.86963312533876,31.32937735555406,83.0,85.0
105,31.0,34.513999999999996,32.28199945993302,36.41799513679586,79.0,81.13999999999999
106,40.8,43.6,48.09971845714143,53.413747859595055,76.0,92.27999999999997
107,31.1,33.756,33.744602076661806,36.95614059984013,81.0,83.13999999999999
108,30.5,33.4,31.302779361333258,35.155725005324065,78.0,80.19999999999993
109,23.9,25.441999999999993,23.621083333333328,25.24364444444444,78.0,81.0
110,34.2,36.31399999999999,35.864324166664055,38.71856596100381,82.0,88.13999999999999
111,30.770000000000007,32.8,31.331026937032508,34.36366981266458,92.85000000000002,94.0
112,29.3,33.428,30.159636464286738,35.50774085292699,90.0,96.0
113,32.785000000000004,37.214,32.75623884834089,36.68809463858445,79.0,82.0
114,29.870000000000005,31.2,30.25369150078538,31.62391622813379,74.0,76.0
115,32.385,34.714,32.38796148903877,35.26907721456828,83.0,86.0
116,32.385,35.513999999999996,32.59494834917782,36.11782506698994,71.0,72.0
117,32.870000000000005,36.228,34.305729945454694,38.589116902497906,78.0,80.0
118,30.4,31.839999999999986,32.28916811983999,33.8199081121494,74.0,77.0
119,33.085,35.614,34.93428625408183,38.52276119534281,67.0,69.0
120,34.67000000000001,42.78399999999999,35.68592684592105,47.460720971951474,93.0,96.0
121,30.2,33.539999999999985,31.126953733004484,34.331725475352904,82.0,87.0
122,33.3,36.4,33.9456822336574,38.164907871951364,76.0,79.0
123,32.6,36.3,33.792106831973385,39.47636058630802,76.0,78.0
124,32.985,35.81399999999999,33.62738378720542,36.71537555763396,75.0,77.0
125,31.310000000000013,33.228,30.99931408684404,33.789806477846255,66.0,69.0
126,31.8,34.0,33.83727511493706,37.40489140120637,80.0,82.0
127,34.870000000000005,41.09799999999999,35.99248568348078,44.19592545955133,77.85000000000002,83.0
128,30.46,32.487999999999985,31.002994844725826,33.5168714978788,83.0,85.0
129,32.46999999999999,35.3,32.72541379420053,35.712507868436354,71.0,75.0
130,31.7,34.513999999999996,33.566116550874746,37.63819753620422,79.0,83.0
131,30.29,33.416,30.731432918906755,37.026555137657674,77.0,78.15999999999997
132,29.070000000000004,33.4,29.636508992674905,34.24292446255654,81.85000000000002,88.0
133,30.810000000000002,32.924,31.541611766280532,33.968837301705406,74.0,79.0
134,29.455000000000005,31.9,29.595498303929855,32.5672766262401,87.0,91.0
135,31.404999999999994,35.5,33.12697571975202,40.498112527616094,76.0,78.0
136,32.0,34.8,33.49549545358985,36.30335237056417,80.0,86.0
137,30.8,35.732,31.076533738986537,35.73152861855116,83.0,94.0
138,31.785000000000004,35.541999999999994,32.05162503269874,36.66884550253945,76.0,77.0
139,32.7,37.08199999999998,32.546344047981854,39.196281176768544,79.0,83.13999999999999
140,33.085,35.714,35.48566861610142,40.41860117640933,100.0,100.0
141,32.285000000000004,35.3,31.9768616344774,34.75807633583823,81.0,84.13999999999999
142,31.4,34.913999999999994,31.902404847411074,34.97850879461456,88.0,90.0
143,32.8,35.3,51.40122470644069,57.80800260530127,100.0,100.0
144,34.88999999999999,38.416,36.180185783532444,42.20477827507766,90.0,96.0
145,27.7,31.014,28.133986525118715,33.34030717182597,82.0,86.0
146,34.285000000000004,38.4,35.31706585944533,41.64762566778981,83.0,86.0
147,34.285000000000004,37.728,35.924292062962415,41.539329006222545,73.0,80.13999999999999
148,30.785000000000004,32.742,31.1705133332251,33.78870344461115,77.0,80.0
149,30.9,33.435999999999986,31.535768228705415,34.65124650408751,87.0,93.0
150,28.729999999999993,31.82399999999998,29.580303802205442,33.035843864758974,87.0,91.0
151,31.570000000000004,34.628,33.584391236464114,36.38132417787175,88.0,90.0
152,27.535000000000004,28.668000000000006,28.632539015712027,29.912061040827584,78.0,80.0
153,32.1,35.044000000000004,32.31464670722492,36.16988076892591,78.0,80.48000000000002
154,35.089999999999996,36.632,38.140007407571325,40.17668099154589,79.0,81.0
155,36.19499999999999,37.41799999999999,38.89234494035158,41.4939658633325,63.94999999999993,71.3599999999999
156,32.3,33.614,34.96982101432184,36.33143726941465,78.0,79.0
157,31.8,35.56999999999999,32.54900079458085,37.06119292927777,85.0,88.0
158,32.2,35.34199999999999,32.21818629089087,36.422790492127845,80.0,83.0
159,32.1,34.925999999999995,33.61146246744371,36.580285544142825,82.0,87.0
160,33.8,34.81399999999999,37.103787629533485,39.04481364924348,80.0,82.0
161,32.58,35.46799999999998,33.35901031255609,38.690445421186084,84.0,88.0
162,34.5,38.23999999999999,34.96732729544108,40.42315127484843,79.85000000000002,84.0
163,32.54000000000001,36.628,32.39243199202274,38.08748153746235,83.0,85.0
164,33.48999999999999,38.65800000000001,34.5144491854294,41.143363451548126,80.0,87.0
165,32.0,34.0,36.442948156401414,39.41691392569702,87.0,88.0
166,31.3,34.1,31.844352406983088,35.54775241306393,84.0,86.0
167,33.839999999999996,37.036,36.34353387042672,41.873240493039994,84.0,85.0
168,27.819999999999993,30.31600000000001,28.001083544480082,31.361581216630913,87.0,87.0
169,34.685,36.8,36.62344180309202,40.208507974285446,74.0,78.0
170,31.1,32.714,32.5840174705561,34.67224603568004,76.0,79.13999999999999
171,35.285000000000004,36.81399999999999,39.6406668031948,41.84069283526849,82.0,84.0
172,36.870000000000005,38.9,41.240011550192065,44.91507822556844,72.0,79.0
173,32.685,34.455999999999996,34.01271678456755,37.06896731836137,79.0,81.0
174,32.31,33.5,33.47339660148005,35.34915329917872,71.0,74.0
