Cluster_ID,Unnamed: 0,Perc,View_time,first,LST,Lon,Lat,MODIS_Time,Day,Temp,RH,Sensor_Time,NDVI,Prec
82051055224512.0,38883.83576365156,70.0,12.508660382015647,12.508660382015647,26.711064403432854,23.773245275749005,61.476453074908456,10.923777363632379,18.75781784005468,24.399933155080213,47.449389125666215,11.029961825240463,0.6332727272727273,0.07291978326710781
82085414964260.0,27733.614643869245,70.0,12.992150041303072,12.992150041303072,34.40373738735263,19.03371849933499,47.43616098308632,11.723235474680738,13.824445567700764,29.634575251153095,43.77783897184605,11.780235690767535,0.5466761904761904,0.07595194556883397
82175609278253.0,29490.416666666668,70.0,12.975,12.975,39.60500000000003,17.940359236642493,40.625313471677735,11.7789760508905,14.666666666666666,28.479166666666668,61.875,11.916666666666666,0.3928,0.102014809846878
82184199211822.0,29145.67916666667,70.0,12.839583333333332,12.839583333333332,32.62916666666669,19.914710950975678,50.07649483426718,11.511935936601622,14.370833333333332,28.76625,45.48333333333333,11.424999999999999,0.5748916666666667,0.10593936592340465
82222853918539.0,31758.363636363636,70.0,13.018181818181818,13.018181818181818,41.65818181818184,18.15738368491371,40.34747580323965,11.807689572520902,15.545454545454545,30.127272727272725,52.04545454545455,11.772727272727273,0.32599999999999996,0.0999455600976944
82295868361279.0,41851.739682539686,70.0,12.794014837014837,12.794014837014837,28.813975720575748,21.017803369577116,52.21728145496331,11.392827945709694,20.54163873163873,25.933466024716026,53.49029683279684,11.39593573093573,0.5265166666666666,0.06462539906303083
82334523066097.0,38358.8,70.0,12.395,12.395,25.002000000000027,24.48185156384549,60.98077534807918,10.7628765624103,18.25,29.4,34.15,10.85,0.67535,0.0691224411129951
82360292871297.0,31967.5,70.0,12.942857142857141,12.942857142857141,36.61714285714288,19.65602512156212,46.888624779661505,11.632455468086334,15.714285714285714,33.15,42.57142857142857,11.714285714285714,0.5002,0.0710253939032554
82570746268868.0,35720.5,70.0,12.85,12.85,34.94250000000004,20.13903940677243,46.24000394042728,11.50739737288184,17.5,28.56,50.06666666666667,11.433333333333334,0.45435,0.0700290575623512
82613695940392.0,37558.8733730773,70.0,12.561655107949612,12.561655107949612,28.34862392159596,24.86365366880036,60.22060093006304,10.904078196696254,18.67450335397317,24.83966691306152,46.30118269530035,10.987136891793755,0.5895888888888889,0.07164324820041651
