Cluster_ID,Unnamed: 0,Perc,View_time,first,LST,Lon,Lat,MODIS_Time,Day,Temp,RH,Sensor_Time,NDVI
75338021341877.0,22600.866666666665,30.0,2.126666666666667,2.126666666666667,11.474000000000036,-1.1225296400934115,51.27790522881254,2.2015019760062278,14.266666666666667,16.02,76.66666666666667,2.1666666666666665,
75372381081628.0,25221.8024691358,30.0,1.969135802469136,1.969135802469136,19.34083333333336,-0.7074675958365626,38.46388760448233,2.01630030885824,16.48148148148148,23.787499999999998,55.91203703703704,1.9737654320987652,
75402445851215.0,21354.071428571428,30.0,2.164285714285714,2.164285714285714,10.141428571428602,-0.9205145259681,52.213634207575,2.2256533493502544,13.928571428571429,13.664285714285715,87.28571428571429,2.2857142857142856,
75428215656534.0,26863.291666666668,30.0,2.029166666666667,2.029166666666667,21.54291666666669,-0.7240866654627554,37.939563463929375,2.0774391110308503,17.291666666666668,25.170833333333334,72.35416666666666,2.0,
75432510622308.0,21622.76923076923,30.0,2.161538461538462,2.161538461538462,11.557692307692342,-0.734583389342567,52.08458336398722,2.2105106874946325,14.0,16.323076923076922,65.84615384615384,2.269230769230769,
75445395524235.0,23286.1875,30.0,2.2125000000000004,2.2125000000000004,10.906875000000031,-0.7689318447572607,51.66315372342605,2.2637621229838176,14.875,14.271875000000001,79.4375,2.25,
75453985459543.0,25146.984473555505,30.0,2.2101886017564922,2.2101886017564922,15.957006051543452,-0.595676021383366,44.84548676013974,2.2499003365153833,16.290811529290078,19.374040259378607,77.08571282314095,2.268307176671838,
75462575393857.0,24245.33455882353,30.0,2.2705882352941176,2.2705882352941176,13.813308823529443,-0.6032271905101584,47.473693395906785,2.310803381328128,15.797794117647058,17.78030637254902,67.20606617647059,2.4411764705882355,
75466870362016.0,24549.170795454545,30.0,2.0391174242424244,2.0391174242424244,20.324625000000033,-0.4319096428120311,39.56434172162715,2.0679114004298933,15.48003787878788,24.538189888010542,70.66909914361001,1.99717720685112,
75475460295352.0,19269.85714285714,30.0,2.2214285714285715,2.2214285714285715,10.760000000000039,-0.544300170088871,51.26020259763037,2.2577152494344963,12.214285714285714,16.435714285714287,66.64285714285714,2.2857142857142856,
75539884804834.0,24421.77037037037,30.0,2.204444444444445,2.204444444444445,12.258000000000024,-0.361413113115824,50.83631599238874,2.2285386519854993,15.303703703703704,15.533333333333333,77.43333333333334,2.248148148148148,
75544179772607.0,28377.28947368421,30.0,2.281578947368421,2.281578947368421,15.303684210526344,-0.3780648828164087,46.35883675395109,2.3067832728895152,17.789473684210527,20.76842105263158,66.26315789473685,2.3421052631578947,
75582834477964.0,24135.597222222223,30.0,2.1347222222222224,2.1347222222222224,11.622666666666696,-0.3837078751995445,49.16565024052523,2.1603027472355256,15.447222222222223,15.760212418300654,75.26486928104575,2.2022875816993466,
75608604282855.0,26666.166666666668,30.0,1.9791666666666667,1.9791666666666667,20.9291666666667,-0.1468604931952399,38.96067753921376,1.9889573662130158,16.541666666666668,25.391666666666666,73.91666666666667,1.9583333333333333,
75625784150713.0,23573.8,30.0,2.2066666666666666,2.2066666666666666,11.043333333333361,-0.2036917361214077,51.22722754534013,2.220246115741427,14.933333333333334,14.553846153846154,85.53846153846153,2.1923076923076925,
75642964019840.0,21540.623551674424,30.0,2.1870619141840075,2.1870619141840075,11.762128382599343,-0.4880616765027382,51.46221833395582,2.2195993592841896,13.927071991316177,15.616841846783707,77.61343772506562,2.244697001964444,
75694503628659.0,27955.772727272728,30.0,2.1,2.1,19.423636363636398,-0.2651158531326246,39.96141129313334,2.1176743902088417,17.90909090909091,22.681818181818183,66.13636363636364,2.090909090909091,
75707388529515.0,24470.0,30.0,2.123809523809524,2.123809523809524,13.212857142857171,0.1152811395347362,49.55577810646647,2.1161241145072083,15.80952380952381,15.790476190476191,83.47619047619048,2.0714285714285716,
75737453300997.0,22189.85,30.0,2.4050000000000002,2.4050000000000002,15.781000000000038,0.11727881680668,45.61759369718519,2.397181412212888,14.75,18.144444444444446,74.72222222222223,2.3333333333333335,
75819057678979.0,21653.428571428572,30.0,1.8571428571428572,1.8571428571428572,10.868571428571455,0.4681387240960156,51.69279782722937,1.8259336088697893,14.0,13.950000000000001,88.21428571428571,1.8571428571428572,
75866302319249.0,21824.916666666668,30.0,2.141666666666667,2.141666666666667,11.501666666666694,0.6067632576455411,51.641063336807285,2.101215782823631,13.916666666666666,15.441666666666668,84.66666666666667,2.0,
75909251992648.0,24231.812626805106,30.0,2.2588674066117673,2.2588674066117673,14.611975176035356,0.7437169023288966,47.37916602745005,2.209286279789841,15.754803675856307,17.756025919139585,66.96018758380545,2.1568346636900375,
75952201665139.0,18720.23076923077,30.0,2.2,2.2,10.359230769230802,0.9553222687912984,51.855358815233785,2.1363118487472468,12.153846153846153,14.36153846153846,83.3076923076923,2.1923076923076925,
76016626174828.0,24699.40357142857,30.0,2.1100396825396825,2.1100396825396825,13.297261904761934,1.1116405153208972,49.45923188000779,2.0359303148516226,15.981349206349206,15.228373015873014,77.20039682539682,2.072222222222222,
76029511076452.0,17112.30769230769,30.0,2.0615384615384618,2.0615384615384618,11.222307692307721,1.1133751056306875,52.03704488765644,1.987313454496416,11.076923076923077,13.815384615384614,75.84615384615384,2.1153846153846154,
76068165783284.0,24955.55,30.0,2.025,2.025,19.90100000000003,1.0240771479343802,41.05715957229977,1.9567281901377078,15.45,24.105,76.1,2.0,
76119705390319.0,27471.284356725148,30.0,2.3512426900584797,2.3512426900584797,14.371929824561434,1.2469307560577083,45.821658883019836,2.268113972987966,17.15277777777778,18.094005847953216,72.71491228070175,2.322368421052632,
76145475194326.0,24072.38028946959,30.0,2.185236528822055,2.185236528822055,17.561220732932576,1.3521049714630553,43.62662291322583,2.0950961973911846,15.01139951594673,22.152882983602797,66.78178725681306,2.1197655085425984,
76162655063005.0,25980.096813725493,30.0,2.2810866013071895,2.2810866013071895,13.297851307189573,1.479739307282854,48.444210423129455,2.182437314154999,16.160539215686274,18.133823529411767,58.82614379084967,2.235294117647059,
76291504081940.0,24283.611236424393,30.0,2.3573976608187133,2.3573976608187133,14.485395989974965,1.8874699523934024,47.880383637189404,2.2315663306591533,16.10438596491228,19.623199665831244,62.730743525480364,2.177903091060986,
