Cluster_ID,Unnamed: 0,Perc,View_time,LST,Lon,Lat,MODIS_Time,Day,Temp,RH,Sensor_Time,NDVI
75621489184788.0,26717.545454545456,50.0,10.931818181818182,35.49545454545458,-0.06784076342712556,38.57277587947344,10.936340899379989,14.5,30.979545454545455,56.29545454545455,10.954545454545455,0.25755
75625784150713.0,31730.31944444445,50.0,11.280555555555557,27.68777777777781,-0.16184158636780024,51.222631698521035,11.291344994646742,16.319444444444446,24.427777777777777,62.069444444444436,11.305555555555555,0.5713
75642964019840.0,29263.70738916256,50.0,11.170419403393542,29.66878188286812,-0.35094601406829856,51.49228197051169,11.193815804331429,15.615907224958947,26.121109742747674,54.57300903119869,11.161117952928297,0.5146051724137931
75707388529515.0,21419.2,50.0,11.233333333333333,29.676666666666694,0.1447424201948532,49.54709623671542,11.223683838653676,11.266666666666667,22.720000000000002,59.0,11.166666666666666,0.5894
75728863366153.0,25525.129117259552,50.0,11.241304347826087,34.976245059288566,0.19156149488901705,47.98934495650252,11.228533581500153,13.818840579710146,26.785778985507246,48.06884057971015,11.172101449275361,0.4128
75737453300997.0,27187.391847041847,50.0,11.133982683982685,33.978751803751834,0.13523115764785312,45.64172040661837,11.124967273472826,14.729437229437229,30.487635756056807,45.54553049289891,11.056390977443607,0.48466666666666675
75823352646312.0,29345.166666666664,50.0,11.261111111111111,29.32555555555559,0.5234226589566375,51.36788765852055,11.226216267180668,15.166666666666666,27.774305555555557,51.125,11.20138888888889,0.5755
75866302319249.0,31323.35714285714,50.0,11.282142857142857,29.009285714285742,0.42661334553580077,51.62569950412764,11.25370196744047,16.321428571428573,25.42142857142857,62.82142857142857,11.178571428571427,0.4552375
75900662058405.0,28693.85,50.0,11.209999999999999,34.680000000000035,0.6024290114215917,44.19848924602711,11.169838065905228,14.8,25.919999999999998,56.55,11.1,0.43170000000000003
75909251992648.0,27582.067908742443,50.0,11.139433755958525,33.530359477124215,0.7149209832473975,47.392234537862436,11.091772357075364,14.59046513342179,30.598984593837535,41.68639122315593,11.0843837535014,0.4671625
76016626174828.0,25927.564645354643,50.0,11.331201132201134,31.45051908091911,1.113342108282892,49.44916813484027,11.256978324982274,13.62271728271728,28.606190476190477,45.31398601398602,11.252460872460873,0.53886
76029511076452.0,31814.545454545456,50.0,11.227272727272727,29.270000000000024,1.2057810567612464,52.04642237717183,11.146887323488643,16.454545454545453,22.245454545454546,74.27272727272727,11.136363636363637,0.4055499999999999
76059575847840.0,27594.416666666668,50.0,11.308333333333332,31.103333333333364,1.0878110792912823,49.0065216455567,11.235812594713913,14.083333333333334,27.716666666666665,40.25,11.25,0.5881000000000001
76068165783284.0,30182.375,50.0,11.025,38.042500000000025,1.2382106123559404,41.11812440190247,10.942452625842938,15.416666666666666,29.979106280193236,60.21557971014493,11.007246376811594,0.37260000000000004
76111115455544.0,24944.555555555555,50.0,11.18888888888889,32.252222222222244,1.4143287539298566,47.576387607942905,11.094600305293564,13.277777777777779,30.83888888888889,37.611111111111114,11.11111111111111,0.498
76119705390319.0,28271.944444444445,50.0,11.222222222222221,32.75666666666669,1.2502293760619951,45.87058525455351,11.138873597151424,14.333333333333334,29.200000000000003,52.5,11.055555555555555,0.66725
76145475194326.0,29935.95674649977,50.0,11.248630811973912,35.91302842716037,1.3762312562199421,43.568754186121225,11.15688206155925,15.285755793545487,29.700476925138023,49.274614011146525,11.135391885049117,0.4515119047619048
76162655063005.0,29260.514692982455,50.0,11.224407894736842,33.57195175438599,1.4768527825342572,48.436239036812914,11.125951042567891,14.763523391812866,26.0603216374269,45.45124269005848,11.104605263157895,0.5144166666666666
76278619179735.0,28138.785714285714,50.0,11.428571428571429,28.274285714285742,1.8761132590247125,50.925841364238785,11.303497211303112,14.428571428571429,24.142857142857142,59.42857142857143,11.214285714285714,0.56755
76291504081940.0,27405.858347953217,50.0,11.13711038011696,33.86738435672517,1.8847340390913387,47.8853444508128,11.011461444177536,14.81328216374269,28.803551900584797,43.44766812865497,11.006381578947368,0.508655
76334453755570.0,27653.58,50.0,10.988,39.12880000000003,1.836206534146898,41.723590061141465,10.865586231056874,14.4,28.689999999999998,44.76,10.9,0.30525
76416058133315.0,25750.454545454544,50.0,11.372727272727273,33.16090909090912,2.2971772532994987,49.92288697799458,11.219582122507306,13.636363636363637,27.30909090909091,45.27272727272727,11.227272727272727,0.3892
76428943035283.0,24661.34062914936,50.0,11.288329873999853,32.37193114930613,2.299892126631201,48.828253013797216,11.13500373222444,12.589276912097745,27.343511835435333,45.17098901847179,11.140177267942173,0.5086780645161291
76433238003139.0,27889.3125,50.0,11.21875,34.76500000000002,2.1682780191475395,43.9575461797052,11.07419813205683,14.4375,25.8,55.333333333333336,11.033333333333333,0.5035000000000001
76484777609932.0,26363.190476190477,50.0,11.341071428571428,29.427738095238126,2.3528959505128326,51.034888680500785,11.18421169853724,13.827380952380953,26.564285714285713,51.23214285714286,11.196428571428571,0.32505
76484777610114.0,28125.69230769231,50.0,11.46923076923077,31.566923076923107,2.5953840953497456,49.30643409375988,11.29620516287412,14.384615384615385,26.799999999999997,53.38461538461539,11.346153846153847,0.455
76484777610349.0,28456.052631578947,50.0,11.189473684210526,38.10789473684214,2.384330383389099,47.0528177986515,11.030518325317919,15.0,29.973684210526315,38.0,11.078947368421053,0.40095000000000003
76587856825355.0,26736.277777777777,50.0,11.3,34.18222222222225,2.7290724040331065,48.028852591836056,11.118061839731125,14.333333333333334,27.205555555555556,45.77777777777778,11.11111111111111,0.52615
76613626629032.0,21755.75909090909,50.0,11.22909090909091,29.262636363636393,2.883745242273984,48.97467028673194,11.036841226272642,11.227272727272727,27.948181818181823,40.47272727272727,10.977272727272727,0.500075
76617921596279.0,25473.96153846154,50.0,11.476923076923075,33.1615384615385,2.818816271834759,49.426194400302805,11.289001992134093,13.307692307692308,26.93076923076923,49.92307692307692,11.346153846153847,0.45909999999999995
76652281335710.0,31926.640259740256,50.0,11.005748917748917,38.31280519480523,2.661974526841485,39.590256233309354,10.82828394929282,16.71861471861472,32.78525541125541,43.95818181818182,10.884675324675325,0.24929
76669461203668.0,28261.2934012133,50.0,11.393357113408133,32.56699715817066,3.1368287117252276,50.59343349011478,11.18423519929312,14.075241481874135,27.973054598462763,47.32353785670112,11.160737108696292,0.4786591836734694
