Cluster_ID,Unnamed: 0,Perc,View_time,LST,Lon,Lat,MODIS_Time,Day,Temp,RH,Sensor_Time,NDVI,Prec
78288663874317.0,24435.0,20.0,12.807142857142859,33.37571428571432,7.992136000112117,50.366656714833496,12.274333790468717,16.142857142857142,46.449999999999996,19.0,12.357142857142858,0.60825,0.0694269388914108
78314433678735.0,25317.14285714286,20.0,12.899999999999999,32.43285714285717,7.5449862646746695,44.33858528292426,12.397000915688356,16.142857142857142,29.723529411764705,52.23529411764706,12.264705882352942,0.6394,0.1223302632570266
78323023612884.0,23891.432306255836,20.0,12.871055088702148,30.981690009337097,7.983476425866325,48.50299326595001,12.338823326977726,15.165266106442578,30.934920634920633,41.40242763772176,12.377684407096174,0.7255500000000001,0.0830183823903401
78353088383431.0,37794.85416666667,20.0,13.08611111111111,28.14125000000003,8.656241067754443,53.60407555716154,12.509028373260815,23.916666666666664,28.230555555555554,54.0625,12.61111111111111,0.754125,0.0611641593277454
78361678318477.0,25213.421875,20.0,12.824632352941176,32.042058823529445,8.003852288130044,49.20323265897894,12.291042200399174,16.410845588235293,29.961764705882352,41.58363970588235,12.277573529411764,0.6431375,0.07196512445807454
78370268253113.0,25789.666666666668,20.0,12.973333333333333,27.4406666666667,8.254638820027424,48.76091212998237,12.423024078664838,16.6,24.826666666666664,54.0,12.433333333333334,0.7918000000000001,0.0845627933740615
78374563219356.0,23695.078839869282,20.0,12.684162581699345,23.951024509803947,9.677942072214972,59.099473367591145,12.038966443551681,14.967851307189543,24.119477124183007,50.990482026143795,12.106290849673202,0.688175,0.12595788855105639
78374563220415.0,22996.33125,20.0,12.906875,30.69912500000003,8.182878506774317,48.686654720139344,12.361349766215046,14.73125,27.921875,40.8125,12.39375,0.6814250000000001,0.08368043228983875
78408922958745.0,25062.731216931217,20.0,12.913650793650794,30.876603174603204,8.472396047238417,48.98958375020519,12.348824390501564,16.06878306878307,28.31873015873016,46.750264550264546,12.311640211640212,0.6091166666666666,0.08378994961579637
78413217925887.0,25756.055555555555,20.0,13.075,32.949444444444474,8.456633868197992,50.539937381770415,12.511224408786799,16.02777777777778,27.360416666666666,41.27083333333333,12.458333333333332,0.7166,0.06746622174978256
78426102827499.0,36472.100623582766,20.0,12.71837679516251,30.953078231292547,8.766624946472698,53.1311789722415,12.13393513206433,22.994614512471657,30.072486772486773,49.39965986394558,12.185752078609221,0.4745238095238095,0.057437747362114114
78426102827952.0,24081.15,20.0,12.925,29.399000000000022,8.140744460920308,48.847677318280326,12.382283702605312,15.55,31.905,42.5,12.4,0.7124,0.0808332711458206
