INDEX,Unnamed: 0,View_time,LST,Lon,Lat,MODIS_Time,Day,Temp,RH,Sensor_Time
76428943035283.0,143909.25769434712,21.96996228623726,15.38410436681384,2.2726213312605923,48.81482005575039,21.81845419748655,14.562502116102795,20.305870156868135,59.84363720707163,21.864521268227794
76433238003139.0,160693.91030853486,21.9443127762426,18.273095273797058,2.121293462258725,43.94251900915509,21.80289321209202,15.952098194203456,24.044281501474487,58.63077101585874,21.854814386393333
76484777609932.0,156264.6083021244,21.95575573907724,13.830354571504701,2.4421664616733447,51.027282991724675,21.792944641632353,15.641975463121508,17.64487775465463,74.05069973130318,21.817067809359898
76484777610114.0,135677.94178838778,21.940818613301246,15.40574560184141,2.5102295758323105,49.29972169487411,21.773469974912423,13.785885440488903,20.27751015444424,62.17442923933132,21.839915267590946
76484777610349.0,161250.03931936412,21.832598237593817,16.223859361820253,2.3955329192642276,47.08060330666811,21.672896042976202,16.53041317537116,21.067269794680232,54.52950065991308,21.721147419627076
76506252447247.0,145823.67722864743,22.17046896479589,20.09999792301718,2.366713161142481,43.20570572627803,22.012688087386387,15.346466887813042,24.5148956278764,58.23754930966469,22.05869344330883
76562087021340.0,150441.96512788683,21.846598817848818,13.363097385457708,2.7569531360561887,50.26821638385916,21.662801942111738,15.776036463536464,18.13229122036609,68.73022234004854,21.76995803884173
76587856825355.0,146846.6830952544,21.91935085135453,15.072968952820085,2.7577658832305834,47.99758203092351,21.73549979247249,15.409182341351459,19.7981209915493,59.985145425448735,21.848012771542184
76613626629032.0,134642.60627626049,21.939531493152817,14.445040577342077,2.89456859530596,49.0171636618125,21.746560253465756,13.484091970121382,19.42574103252412,64.773822167756,21.843956193588543
76617921596279.0,132933.28169214394,21.90014901874246,14.77872823160284,2.823868534671518,49.413930453600955,21.711891116431026,13.574747991008898,19.447136694213548,64.76527880395474,21.788621396253152
76630806497978.0,150773.8232548316,21.763958572291905,13.775707718207745,2.8824969417068558,51.16929936355481,21.57179210951145,15.129731996398663,18.486751335084666,70.86431531431532,21.638559896893227
76652281335710.0,158509.75321475454,22.030676168238504,21.208446830697234,2.65642396085984,39.56688771456657,21.853581237514515,15.993590807125488,26.833028751060787,58.621225303843865,21.942518886375904
76669461203668.0,164066.92509676865,21.875805241811232,13.494309084973416,3.078544485176432,50.562845026905705,21.670568942799466,16.237249469325864,18.82460678452642,67.39279153195407,21.680109955620757
