INDEX,Unnamed: 0,View_time,LST,Lon,Lat,MODIS_Time,Day,Temp,RH,Sensor_Time
79383880534415.0,201169.54870421652,12.634797528860028,28.182389310376468,12.062247837650338,54.096073816219295,11.830647673016673,17.85170570850718,25.133695735772942,55.42395107275622,11.890786844555228
79388175502614.0,154078.534991869,13.170857372802713,34.56781090866544,10.921013560763592,45.46188094252895,12.44278980208514,14.396938592365574,31.522705204558598,51.95847769542017,12.416980925330208
79409650339131.0,161877.4735380117,13.110659508620037,36.943877705627735,10.805072204024398,45.149186683842466,12.390321361685075,14.868304283435862,33.73887654742918,49.45526220855169,12.322031404268246
79413945305304.0,178519.24676187252,12.747935038409302,25.50795008057305,12.231854231330626,55.75211998166447,11.932478089653928,15.529936294914236,24.215471034929124,56.997969292553854,12.024251237732855
79418240273112.0,222985.53662131517,12.841755479969766,34.38210922146639,11.601647714917133,50.93225801065468,12.06831229897529,19.305196523053667,29.81226001511716,39.27666288737718,12.077796674225246
79431125174315.0,178639.64916749916,12.656274725274725,22.372078676878708,12.897204681306173,57.71736418275553,11.796461079854314,16.126088356088356,23.99930572205572,52.087851315351315,11.91134532134532
79456894979000.0,155552.3863630309,12.833161222615768,33.05872224240409,11.445285908182177,48.755645445190865,12.070142162070288,13.74769805951624,29.519198402607493,41.09889161343706,12.068581115853842
79461189946843.0,163305.67822966506,13.158014354066985,35.09624401913879,10.813935410551629,43.6074220240897,12.437085326696877,14.391148325358852,30.363157894736844,51.6578947368421,12.421052631578949
79465484913471.0,141458.5585192585,12.930993485680986,33.3538892635143,11.618548796142688,49.97868203731344,12.15642356593814,13.104363344988345,27.89414068570319,39.99835372960373,12.11236229048729
79474074847114.0,195477.67610986545,12.581618091231094,23.728854916689013,13.51000978077369,59.38476703887435,11.680950772512848,17.440313564177877,24.832468365447497,53.29048122467091,11.696130697945117
79474074848470.0,176073.475727418,12.991251061030471,29.814671421813202,11.160400671066384,46.05517258027066,12.247224349626048,15.382958820817674,28.79453390659361,49.55583137837395,12.262145940340424
79478369814674.0,160714.10069410116,12.800330224850121,24.072035726960493,12.858457899762392,56.66465300921147,11.943099698199296,14.17540543366668,23.645692041522494,59.53274015488549,12.07771255561048
79478369814733.0,165988.88442550437,12.828877576161583,24.399187059502342,12.703208034172691,56.04617628873825,11.98199704055007,14.510187295343547,23.253064931052062,59.08249445951652,12.08248168804235
79482664783221.0,180352.24785696124,13.102558661145617,37.599700528495184,10.881010759589234,44.64121419610182,12.37715794383967,16.336477970288037,32.838075260615305,47.595601776179585,12.293632632305401
